id,nomor_kk,wilayah_id,alamat_lengkap,kepala_keluarga_id,foto_scan_url
kk-56,32010179800056,wilayah-56,Jl. Raya Dusun Sumber RT 08/RW 02,,
kk-57,32010192340057,wilayah-57,Jl. Kampung Dusun Sumber RT 01/RW 03,,
kk-58,32010129310058,wilayah-58,Jl. Sawah Dusun Sumber RT 02/RW 03,,
kk-59,32010158060059,wilayah-59,Jl. Kebon Dusun Sumber RT 03/RW 03,,
kk-60,32010199900060,wilayah-60,Jl. Pasar Dusun Sumber RT 04/RW 03,,
kk-61,32010143740061,wilayah-61,Jl. Raya Dusun Sumber RT 05/RW 03,,
kk-62,32010170620062,wilayah-62,Jl. Kampung Dusun Sumber RT 06/RW 03,,
kk-63,32010115680063,wilayah-63,Jl. Sawah Dusun Sumber RT 07/RW 03,,
kk-64,32010113330064,wilayah-64,Jl. Kebon Dusun Sumber RT 08/RW 03,,
kk-65,32010116030065,wilayah-65,Jl. Pasar Dusun Sumber RT 01/RW 04,,
kk-66,32010102120066,wilayah-66,Jl. Raya Dusun Sumber RT 02/RW 04,,
kk-67,32010175330067,wilayah-67,Jl. Kampung Dusun Sumber RT 03/RW 04,,
kk-68,32010153340068,wilayah-68,Jl. Sawah Dusun Sumber RT 04/RW 04,,
kk-69,32010137520069,wilayah-69,Jl. Kebon Dusun Sumber RT 05/RW 04,,
kk-70,32010147240070,wilayah-70,Jl. Pasar Dusun Sumber RT 06/RW 04,,
kk-71,32010108170071,wilayah-71,Jl. Raya Dusun Sumber RT 07/RW 04,,
kk-72,32010175910072,wilayah-72,Jl. Kampung Dusun Sumber RT 08/RW 04,,
kk-73,32010137720073,wilayah-73,Jl. Sawah Dusun Sumber RT 01/RW 05,,
kk-74,32010146740074,wilayah-74,Jl. Kebon Dusun Sumber RT 02/RW 05,,
kk-75,32010158090075,wilayah-75,Jl. Pasar Dusun Sumber RT 03/RW 05,,
kk-76,32010182960076,wilayah-76,Jl. Raya Dusun Sumber RT 04/RW 05,,
kk-77,32010184130077,wilayah-77,Jl. Kampung Dusun Sumber RT 05/RW 05,,
kk-78,32010127330078,wilayah-78,Jl. Sawah Dusun Sumber RT 06/RW 05,,
kk-79,32010166660079,wilayah-79,Jl. Kebon Dusun Sumber RT 07/RW 05,,
kk-80,32010121440080,wilayah-80,Jl. Pasar Dusun Sumber RT 08/RW 05,,
kk-81,32010100020081,wilayah-81,Jl. Raya Dusun Pasar RT 01/RW 01,,
kk-82,32010184360082,wilayah-82,Jl. Kampung Dusun Pasar RT 02/RW 01,,
kk-83,32010163780083,wilayah-83,Jl. Sawah Dusun Pasar RT 03/RW 01,,
kk-84,32010138860084,wilayah-84,Jl. Kebon Dusun Pasar RT 04/RW 01,,
kk-85,32010194010085,wilayah-85,Jl. Pasar Dusun Pasar RT 05/RW 01,,
kk-86,32010165740086,wilayah-86,Jl. Raya Dusun Pasar RT 06/RW 01,,
kk-87,32010165110087,wilayah-87,Jl. Kampung Dusun Pasar RT 07/RW 01,,
kk-88,32010154990088,wilayah-88,Jl. Sawah Dusun Pasar RT 08/RW 01,,
kk-89,32010103010089,wilayah-89,Jl. Kebon Dusun Pasar RT 01/RW 02,,
kk-90,32010158280090,wilayah-90,Jl. Pasar Dusun Pasar RT 02/RW 02,,
kk-91,32010123310091,wilayah-91,Jl. Raya Dusun Pasar RT 03/RW 02,,
kk-92,32010177520092,wilayah-92,Jl. Kampung Dusun Pasar RT 04/RW 02,,
kk-93,32010193740093,wilayah-93,Jl. Sawah Dusun Pasar RT 05/RW 02,,
kk-94,32010141110094,wilayah-94,Jl. Kebon Dusun Pasar RT 06/RW 02,,
kk-95,32010196480095,wilayah-95,Jl. Pasar Dusun Pasar RT 07/RW 02,,
kk-96,32010144000096,wilayah-96,Jl. Raya Dusun Pasar RT 08/RW 02,,
kk-97,32010158360097,wilayah-97,Jl. Kampung Dusun Pasar RT 01/RW 03,,
kk-98,32010137510098,wilayah-98,Jl. Sawah Dusun Pasar RT 02/RW 03,,
kk-99,32010131840099,wilayah-99,Jl. Kebon Dusun Pasar RT 03/RW 03,,
kk-100,32010146590100,wilayah-100,Jl. Pasar Dusun Pasar RT 04/RW 03,,
kk-101,32010118050101,wilayah-101,Jl. Raya Dusun Pasar RT 05/RW 03,,
kk-102,32010153320102,wilayah-102,Jl. Kampung Dusun Pasar RT 06/RW 03,,
kk-103,32010147380103,wilayah-103,Jl. Sawah Dusun Pasar RT 07/RW 03,,
kk-104,32010184320104,wilayah-104,Jl. Kebon Dusun Pasar RT 08/RW 03,,
kk-105,32010173790105,wilayah-105,Jl. Pasar Dusun Pasar RT 01/RW 04,,
kk-106,32010195410106,wilayah-106,Jl. Raya Dusun Pasar RT 02/RW 04,,
kk-107,32010167130107,wilayah-107,Jl. Kampung Dusun Pasar RT 03/RW 04,,
kk-108,32010187570108,wilayah-108,Jl. Sawah Dusun Pasar RT 04/RW 04,,
kk-109,32010168830109,wilayah-109,Jl. Kebon Dusun Pasar RT 05/RW 04,,
kk-110,32010123610110,wilayah-110,Jl. Pasar Dusun Pasar RT 06/RW 04,,
kk-111,32010130810111,wilayah-111,Jl. Raya Dusun Pasar RT 07/RW 04,,
kk-112,32010159080112,wilayah-112,Jl. Kampung Dusun Pasar RT 08/RW 04,,
kk-113,32010116130113,wilayah-113,Jl. Sawah Dusun Pasar RT 01/RW 05,,
kk-114,32010175550114,wilayah-114,Jl. Kebon Dusun Pasar RT 02/RW 05,,
kk-115,32010183670115,wilayah-115,Jl. Pasar Dusun Pasar RT 03/RW 05,,
kk-116,32010181120116,wilayah-116,Jl. Raya Dusun Pasar RT 04/RW 05,,
kk-117,32010199720117,wilayah-117,Jl. Kampung Dusun Pasar RT 05/RW 05,,
kk-118,32010169410118,wilayah-118,Jl. Sawah Dusun Pasar RT 06/RW 05,,
kk-119,32010164600119,wilayah-119,Jl. Kebon Dusun Pasar RT 07/RW 05,,
kk-120,32010176340120,wilayah-120,Jl. Pasar Dusun Pasar RT 08/RW 05,,
kk-121,32010130520121,wilayah-121,Jl. Raya Dusun Kebon RT 01/RW 01,,
kk-122,32010120370122,wilayah-122,Jl. Kampung Dusun Kebon RT 02/RW 01,,
kk-123,32010118440123,wilayah-123,Jl. Sawah Dusun Kebon RT 03/RW 01,,
kk-124,32010151530124,wilayah-124,Jl. Kebon Dusun Kebon RT 04/RW 01,,
kk-125,32010103820125,wilayah-125,Jl. Pasar Dusun Kebon RT 05/RW 01,,
kk-126,32010160560126,wilayah-126,Jl. Raya Dusun Kebon RT 06/RW 01,,
kk-127,32010166410127,wilayah-127,Jl. Kampung Dusun Kebon RT 07/RW 01,,
kk-128,32010165370128,wilayah-128,Jl. Sawah Dusun Kebon RT 08/RW 01,,
kk-129,32010152970129,wilayah-129,Jl. Kebon Dusun Kebon RT 01/RW 02,,
kk-130,32010100220130,wilayah-130,Jl. Pasar Dusun Kebon RT 02/RW 02,,
kk-131,32010111770131,wilayah-131,Jl. Raya Dusun Kebon RT 03/RW 02,,
kk-132,32010195070132,wilayah-132,Jl. Kampung Dusun Kebon RT 04/RW 02,,
kk-133,32010170110133,wilayah-133,Jl. Sawah Dusun Kebon RT 05/RW 02,,
kk-134,32010108490134,wilayah-134,Jl. Kebon Dusun Kebon RT 06/RW 02,,
kk-135,32010194290135,wilayah-135,Jl. Pasar Dusun Kebon RT 07/RW 02,,
kk-136,32010160940136,wilayah-136,Jl. Raya Dusun Kebon RT 08/RW 02,,
kk-137,32010123410137,wilayah-137,Jl. Kampung Dusun Kebon RT 01/RW 03,,
kk-138,32010103370138,wilayah-138,Jl. Sawah Dusun Kebon RT 02/RW 03,,
kk-139,32010198560139,wilayah-139,Jl. Kebon Dusun Kebon RT 03/RW 03,,
kk-140,32010139980140,wilayah-140,Jl. Pasar Dusun Kebon RT 04/RW 03,,
kk-141,32010103480141,wilayah-141,Jl. Raya Dusun Kebon RT 05/RW 03,,
kk-142,32010189500142,wilayah-142,Jl. Kampung Dusun Kebon RT 06/RW 03,,
kk-143,32010116770143,wilayah-143,Jl. Sawah Dusun Kebon RT 07/RW 03,,
kk-144,32010128820144,wilayah-144,Jl. Kebon Dusun Kebon RT 08/RW 03,,
kk-145,32010166930145,wilayah-145,Jl. Pasar Dusun Kebon RT 01/RW 04,,
kk-146,32010150710146,wilayah-146,Jl. Raya Dusun Kebon RT 02/RW 04,,
kk-147,32010132670147,wilayah-147,Jl. Kampung Dusun Kebon RT 03/RW 04,,
kk-148,32010171220148,wilayah-148,Jl. Sawah Dusun Kebon RT 04/RW 04,,
kk-149,32010136820149,wilayah-149,Jl. Kebon Dusun Kebon RT 05/RW 04,,
kk-150,32010103040150,wilayah-150,Jl. Pasar Dusun Kebon RT 06/RW 04,,
kk-151,32010172520151,wilayah-151,Jl. Raya Dusun Kebon RT 07/RW 04,,
kk-152,32010118270152,wilayah-152,Jl. Kampung Dusun Kebon RT 08/RW 04,,
kk-153,32010141500153,wilayah-153,Jl. Sawah Dusun Kebon RT 01/RW 05,,
kk-154,32010128980154,wilayah-154,Jl. Kebon Dusun Kebon RT 02/RW 05,,
kk-155,32010167540155,wilayah-155,Jl. Pasar Dusun Kebon RT 03/RW 05,,
kk-156,32010150330156,wilayah-156,Jl. Raya Dusun Kebon RT 04/RW 05,,
kk-157,32010133380157,wilayah-157,Jl. Kampung Dusun Kebon RT 05/RW 05,,
kk-158,32010174220158,wilayah-158,Jl. Sawah Dusun Kebon RT 06/RW 05,,
kk-159,32010199170159,wilayah-159,Jl. Kebon Dusun Kebon RT 07/RW 05,,
kk-160,32010143340160,wilayah-160,Jl. Pasar Dusun Kebon RT 08/RW 05,,
kk-161,32010153210161,wilayah-161,Jl. Raya Dusun Sawah RT 01/RW 01,,
kk-162,32010117520162,wilayah-162,Jl. Kampung Dusun Sawah RT 02/RW 01,,
kk-163,32010135610163,wilayah-163,Jl. Sawah Dusun Sawah RT 03/RW 01,,
kk-164,32010160570164,wilayah-164,Jl. Kebon Dusun Sawah RT 04/RW 01,,
kk-165,32010190740165,wilayah-165,Jl. Pasar Dusun Sawah RT 05/RW 01,,
kk-166,32010122690166,wilayah-166,Jl. Raya Dusun Sawah RT 06/RW 01,,
kk-167,32010196630167,wilayah-167,Jl. Kampung Dusun Sawah RT 07/RW 01,,
kk-168,32010101760168,wilayah-168,Jl. Sawah Dusun Sawah RT 08/RW 01,,
kk-169,32010179470169,wilayah-169,Jl. Kebon Dusun Sawah RT 01/RW 02,,
kk-170,32010112020170,wilayah-170,Jl. Pasar Dusun Sawah RT 02/RW 02,,
kk-171,32010127760171,wilayah-171,Jl. Raya Dusun Sawah RT 03/RW 02,,
kk-172,32010170970172,wilayah-172,Jl. Kampung Dusun Sawah RT 04/RW 02,,
kk-173,32010111850173,wilayah-173,Jl. Sawah Dusun Sawah RT 05/RW 02,,
kk-174,32010134390174,wilayah-174,Jl. Kebon Dusun Sawah RT 06/RW 02,,
kk-175,32010146970175,wilayah-175,Jl. Pasar Dusun Sawah RT 07/RW 02,,
kk-176,32010134500176,wilayah-176,Jl. Raya Dusun Sawah RT 08/RW 02,,
kk-177,32010119930177,wilayah-177,Jl. Kampung Dusun Sawah RT 01/RW 03,,
kk-178,32010172950178,wilayah-178,Jl. Sawah Dusun Sawah RT 02/RW 03,,
kk-179,32010148450179,wilayah-179,Jl. Kebon Dusun Sawah RT 03/RW 03,,
kk-180,32010168800180,wilayah-180,Jl. Pasar Dusun Sawah RT 04/RW 03,,
kk-181,32010172090181,wilayah-181,Jl. Raya Dusun Sawah RT 05/RW 03,,
kk-182,32010114360182,wilayah-182,Jl. Kampung Dusun Sawah RT 06/RW 03,,
kk-183,32010195630183,wilayah-183,Jl. Sawah Dusun Sawah RT 07/RW 03,,
kk-184,32010115770184,wilayah-184,Jl. Kebon Dusun Sawah RT 08/RW 03,,
kk-185,32010124670185,wilayah-185,Jl. Pasar Dusun Sawah RT 01/RW 04,,
kk-186,32010188000186,wilayah-186,Jl. Raya Dusun Sawah RT 02/RW 04,,
kk-187,32010173560187,wilayah-187,Jl. Kampung Dusun Sawah RT 03/RW 04,,
kk-188,32010178200188,wilayah-188,Jl. Sawah Dusun Sawah RT 04/RW 04,,
kk-189,32010141310189,wilayah-189,Jl. Kebon Dusun Sawah RT 05/RW 04,,
kk-190,32010165780190,wilayah-190,Jl. Pasar Dusun Sawah RT 06/RW 04,,
kk-191,32010124760191,wilayah-191,Jl. Raya Dusun Sawah RT 07/RW 04,,
kk-192,32010132170192,wilayah-192,Jl. Kampung Dusun Sawah RT 08/RW 04,,
kk-193,32010102310193,wilayah-193,Jl. Sawah Dusun Sawah RT 01/RW 05,,
kk-194,32010186190194,wilayah-194,Jl. Kebon Dusun Sawah RT 02/RW 05,,
kk-195,32010119950195,wilayah-195,Jl. Pasar Dusun Sawah RT 03/RW 05,,
kk-196,32010196590196,wilayah-196,Jl. Raya Dusun Sawah RT 04/RW 05,,
kk-197,32010130310197,wilayah-197,Jl. Kampung Dusun Sawah RT 05/RW 05,,
kk-198,32010110950198,wilayah-198,Jl. Sawah Dusun Sawah RT 06/RW 05,,
kk-199,32010114960199,wilayah-199,Jl. Kebon Dusun Sawah RT 07/RW 05,,
kk-200,32010117070200,wilayah-200,Jl. Pasar Dusun Sawah RT 08/RW 05,,
