id,penduduk_id,jenis_mutasi,tanggal_peristiwa,keterangan,created_by
mutasi-21,penduduk-115,PINDAH KELUAR,2024-09-15,Mutasi PINDAH KELUAR untuk Rudi Hidayat,
mutasi-22,penduduk-116,MATI,2024-10-31,Mutasi MATI untuk Joko Purnomo,
mutasi-23,penduduk-122,MATI,2020-06-23,Mutasi MATI untuk Maya Wijaya,
mutasi-24,penduduk-123,LAHIR,2024-03-28,Mutasi LAHIR untuk Sari Sari,
mutasi-25,penduduk-125,MATI,2022-09-27,Mutasi MATI untuk Sari Wibowo,
mutasi-26,penduduk-126,PINDAH MASUK,2020-08-18,Mutasi PINDAH MASUK untuk Lukman Sari,
mutasi-27,penduduk-127,MATI,2021-08-02,Mutasi MATI untuk Lukman Indrawati,
mutasi-28,penduduk-130,PERUBAHAN STATUS,2023-07-23,Mutasi PERUBAHAN STATUS untuk Fitri Wijaya,
mutasi-29,penduduk-131,MATI,2020-10-19,Mutasi MATI untuk Nur Purnomo,
mutasi-30,penduduk-137,PINDAH KELUAR,2020-11-11,Mutasi PINDAH KELUAR untuk Siti Sari,
mutasi-31,penduduk-138,PERUBAHAN STATUS,2021-03-28,Mutasi PERUBAHAN STATUS untuk Fitri Santoso,
mutasi-32,penduduk-143,PINDAH MASUK,2020-11-02,Mutasi PINDAH MASUK untuk Tono Purnomo,
mutasi-33,penduduk-144,PINDAH KELUAR,2022-05-15,Mutasi PINDAH KELUAR untuk Sari Wijaya,
mutasi-34,penduduk-162,MATI,2023-10-04,Mutasi MATI untuk Joko Rahayu,
mutasi-35,penduduk-164,LAHIR,2024-09-22,Mutasi LAHIR untuk Lukman Sari,
mutasi-36,penduduk-165,PINDAH KELUAR,2021-04-04,Mutasi PINDAH KELUAR untuk Nur Kurniawan,
mutasi-37,penduduk-168,PINDAH KELUAR,2020-06-27,Mutasi PINDAH KELUAR untuk Budi Sari,
mutasi-38,penduduk-171,PINDAH MASUK,2020-06-04,Mutasi PINDAH MASUK untuk Umi Lestari,
mutasi-39,penduduk-173,PINDAH MASUK,2023-07-06,Mutasi PINDAH MASUK untuk Omar Indrawati,
mutasi-40,penduduk-176,LAHIR,2023-10-07,Mutasi LAHIR untuk Lukman Lestari,
mutasi-41,penduduk-187,MATI,2023-05-23,Mutasi MATI untuk Omar Sari,
mutasi-42,penduduk-196,PERUBAHAN STATUS,2020-03-02,Mutasi PERUBAHAN STATUS untuk Nur Sari,
mutasi-43,penduduk-197,PERUBAHAN STATUS,2021-09-15,Mutasi PERUBAHAN STATUS untuk Omar Rahayu,
mutasi-44,penduduk-204,PINDAH KELUAR,2022-07-10,Mutasi PINDAH KELUAR untuk Fitri Sari,
mutasi-45,penduduk-209,MATI,2023-12-21,Mutasi MATI untuk Maya Wulandari,
mutasi-46,penduduk-215,MATI,2024-05-10,Mutasi MATI untuk Putri Saputra,
mutasi-47,penduduk-218,PINDAH MASUK,2023-05-19,Mutasi PINDAH MASUK untuk Maya Sari,
mutasi-48,penduduk-222,PERUBAHAN STATUS,2022-03-07,Mutasi PERUBAHAN STATUS untuk Dewi Sari,
mutasi-49,penduduk-223,PERUBAHAN STATUS,2022-11-20,Mutasi PERUBAHAN STATUS untuk Joko Wijaya,
mutasi-50,penduduk-224,PINDAH KELUAR,2023-03-17,Mutasi PINDAH KELUAR untuk Putri Indrawati,
mutasi-51,penduduk-226,PERUBAHAN STATUS,2021-09-29,Mutasi PERUBAHAN STATUS untuk Ahmad Indrawati,
mutasi-52,penduduk-227,MATI,2020-07-24,Mutasi MATI untuk Budi Kurniawan,
mutasi-53,penduduk-228,PERUBAHAN STATUS,2023-07-18,Mutasi PERUBAHAN STATUS untuk Lukman Indrawati,
mutasi-54,penduduk-231,PINDAH KELUAR,2022-11-28,Mutasi PINDAH KELUAR untuk Dewi Sari,
mutasi-55,penduduk-236,LAHIR,2024-09-24,Mutasi LAHIR untuk Putri Hidayat,
mutasi-56,penduduk-237,PINDAH KELUAR,2022-11-29,Mutasi PINDAH KELUAR untuk Fitri Sari,
mutasi-57,penduduk-241,PERUBAHAN STATUS,2023-03-04,Mutasi PERUBAHAN STATUS untuk Fitri Hidayati,
mutasi-58,penduduk-247,MATI,2024-05-18,Mutasi MATI untuk Sari Setiawan,
mutasi-59,penduduk-248,PINDAH KELUAR,2022-12-25,Mutasi PINDAH KELUAR untuk Tono Sari,
mutasi-60,penduduk-253,PINDAH MASUK,2022-05-16,Mutasi PINDAH MASUK untuk Eko Sari,
mutasi-61,penduduk-257,MATI,2024-10-31,Mutasi MATI untuk Siti Hidayat,
mutasi-62,penduduk-265,PERUBAHAN STATUS,2024-01-09,Mutasi PERUBAHAN STATUS untuk Hani Hidayat,
mutasi-63,penduduk-272,PINDAH KELUAR,2023-05-10,Mutasi PINDAH KELUAR untuk Putri Wulandari,
mutasi-64,penduduk-281,LAHIR,2020-08-02,Mutasi LAHIR untuk Indra Wibowo,
mutasi-65,penduduk-283,PINDAH MASUK,2023-11-01,Mutasi PINDAH MASUK untuk Fitri Sari,
mutasi-66,penduduk-295,MATI,2021-02-25,Mutasi MATI untuk Sari Prasetyo,
mutasi-67,penduduk-311,PINDAH MASUK,2020-05-31,Mutasi PINDAH MASUK untuk Omar Hidayati,
mutasi-68,penduduk-314,MATI,2021-11-12,Mutasi MATI untuk Ahmad Purnomo,
mutasi-69,penduduk-329,PINDAH KELUAR,2022-03-16,Mutasi PINDAH KELUAR untuk Maya Wulandari,
mutasi-70,penduduk-334,MATI,2022-04-04,Mutasi MATI untuk Putri Lestari,
mutasi-71,penduduk-342,PINDAH KELUAR,2020-10-26,Mutasi PINDAH KELUAR untuk Gunawan Santoso,
mutasi-72,penduduk-345,PINDAH MASUK,2022-01-20,Mutasi PINDAH MASUK untuk Rudi Indrawati,
mutasi-73,penduduk-346,PINDAH KELUAR,2023-04-20,Mutasi PINDAH KELUAR untuk Kartika Hidayati,
mutasi-74,penduduk-352,PINDAH MASUK,2023-11-04,Mutasi PINDAH MASUK untuk Omar Sari,
mutasi-75,penduduk-354,MATI,2022-06-03,Mutasi MATI untuk Hani Wijaya,
mutasi-76,penduduk-355,PINDAH MASUK,2022-04-01,Mutasi PINDAH MASUK untuk Kartika Saputra,
mutasi-77,penduduk-360,PINDAH MASUK,2023-06-03,Mutasi PINDAH MASUK untuk Gunawan Sari,
mutasi-78,penduduk-365,PERUBAHAN STATUS,2021-11-01,Mutasi PERUBAHAN STATUS untuk Siti Wijaya,
mutasi-79,penduduk-368,LAHIR,2020-11-19,Mutasi LAHIR untuk Hani Wulandari,
mutasi-80,penduduk-372,PERUBAHAN STATUS,2023-05-31,Mutasi PERUBAHAN STATUS untuk Sari Santoso,
mutasi-81,penduduk-385,MATI,2023-06-01,Mutasi MATI untuk Kartika Sari,
mutasi-82,penduduk-386,MATI,2024-08-07,Mutasi MATI untuk Budi Hidayat,
mutasi-83,penduduk-396,PINDAH MASUK,2022-10-11,Mutasi PINDAH MASUK untuk Tono Sari,
mutasi-84,penduduk-398,PINDAH KELUAR,2021-05-30,Mutasi PINDAH KELUAR untuk Kartika Sari,
mutasi-85,penduduk-401,LAHIR,2022-08-16,Mutasi LAHIR untuk Gunawan Saputra,
mutasi-86,penduduk-405,PERUBAHAN STATUS,2020-05-30,Mutasi PERUBAHAN STATUS untuk Siti Prasetyo,
mutasi-87,penduduk-407,PERUBAHAN STATUS,2023-12-10,Mutasi PERUBAHAN STATUS untuk Siti Sari,
mutasi-88,penduduk-413,LAHIR,2021-10-28,Mutasi LAHIR untuk Lukman Sari,
mutasi-89,penduduk-420,MATI,2021-01-13,Mutasi MATI untuk Joko Lestari,
mutasi-90,penduduk-421,PERUBAHAN STATUS,2024-06-14,Mutasi PERUBAHAN STATUS untuk Sari Wibowo,
mutasi-91,penduduk-423,LAHIR,2023-06-02,Mutasi LAHIR untuk Hani Saputra,
mutasi-92,penduduk-429,PERUBAHAN STATUS,2024-01-30,Mutasi PERUBAHAN STATUS untuk Maya Kurniawan,
mutasi-93,penduduk-433,PERUBAHAN STATUS,2023-05-31,Mutasi PERUBAHAN STATUS untuk Fitri Setiawan,
mutasi-94,penduduk-436,PINDAH KELUAR,2023-01-09,Mutasi PINDAH KELUAR untuk Siti Hidayat,
mutasi-95,penduduk-441,MATI,2022-09-19,Mutasi MATI untuk Budi Hidayati,
mutasi-96,penduduk-449,PINDAH MASUK,2020-09-13,Mutasi PINDAH MASUK untuk Rudi Setiawan,
mutasi-97,penduduk-454,PERUBAHAN STATUS,2020-04-17,Mutasi PERUBAHAN STATUS untuk Ahmad Wulandari,
mutasi-98,penduduk-458,LAHIR,2023-06-04,Mutasi LAHIR untuk Lukman Kurniawan,
mutasi-99,penduduk-460,LAHIR,2022-05-23,Mutasi LAHIR untuk Kartika Lestari,
mutasi-100,penduduk-466,PINDAH MASUK,2020-02-16,Mutasi PINDAH MASUK untuk Tono Sari,
mutasi-101,penduduk-495,LAHIR,2024-04-18,Mutasi LAHIR untuk Maya Lestari,
mutasi-102,penduduk-498,PINDAH MASUK,2022-05-26,Mutasi PINDAH MASUK untuk Sari Rahayu,
mutasi-103,penduduk-499,PINDAH MASUK,2021-11-01,Mutasi PINDAH MASUK untuk Rudi Sari,
mutasi-104,penduduk-500,PINDAH MASUK,2020-02-28,Mutasi PINDAH MASUK untuk Omar Santoso,
mutasi-105,penduduk-506,PINDAH KELUAR,2024-10-03,Mutasi PINDAH KELUAR untuk Kartika Kurniawan,
mutasi-106,penduduk-509,MATI,2024-03-27,Mutasi MATI untuk Hani Prasetyo,
mutasi-107,penduduk-511,PINDAH MASUK,2022-05-23,Mutasi PINDAH MASUK untuk Maya Sari,
mutasi-108,penduduk-513,PINDAH MASUK,2023-08-20,Mutasi PINDAH MASUK untuk Umi Wijaya,
mutasi-109,penduduk-520,LAHIR,2024-09-17,Mutasi LAHIR untuk Gunawan Setiawan,
mutasi-110,penduduk-522,PERUBAHAN STATUS,2022-02-12,Mutasi PERUBAHAN STATUS untuk Dewi Sari,
mutasi-111,penduduk-529,PERUBAHAN STATUS,2022-03-03,Mutasi PERUBAHAN STATUS untuk Fitri Kurniawan,
mutasi-112,penduduk-530,LAHIR,2020-11-05,Mutasi LAHIR untuk Budi Sari,
mutasi-113,penduduk-534,PINDAH KELUAR,2020-10-24,Mutasi PINDAH KELUAR untuk Gunawan Sari,
mutasi-114,penduduk-538,LAHIR,2021-10-14,Mutasi LAHIR untuk Omar Rahayu,
mutasi-115,penduduk-542,PINDAH MASUK,2021-11-07,Mutasi PINDAH MASUK untuk Kartika Wijaya,
mutasi-116,penduduk-545,MATI,2021-10-12,Mutasi MATI untuk Siti Wibowo,
mutasi-117,penduduk-550,PINDAH KELUAR,2023-11-16,Mutasi PINDAH KELUAR untuk Rudi Sari,
mutasi-118,penduduk-560,PINDAH KELUAR,2020-03-23,Mutasi PINDAH KELUAR untuk Nur Sari,
mutasi-119,penduduk-565,PINDAH KELUAR,2021-10-19,Mutasi PINDAH KELUAR untuk Siti Sari,
mutasi-120,penduduk-580,PERUBAHAN STATUS,2024-07-14,Mutasi PERUBAHAN STATUS untuk Joko Wibowo,
mutasi-121,penduduk-586,PERUBAHAN STATUS,2021-02-09,Mutasi PERUBAHAN STATUS untuk Indra Santoso,
mutasi-122,penduduk-595,MATI,2023-04-24,Mutasi MATI untuk Putri Purnomo,
mutasi-123,penduduk-600,MATI,2023-05-09,Mutasi MATI untuk Omar Prasetyo,
mutasi-124,penduduk-609,PINDAH KELUAR,2022-07-02,Mutasi PINDAH KELUAR untuk Putri Indrawati,
mutasi-125,penduduk-610,PERUBAHAN STATUS,2020-11-08,Mutasi PERUBAHAN STATUS untuk Fitri Setiawan,
mutasi-126,penduduk-611,LAHIR,2024-10-17,Mutasi LAHIR untuk Hani Setiawan,
mutasi-127,penduduk-617,MATI,2023-12-04,Mutasi MATI untuk Umi Prasetyo,
mutasi-128,penduduk-618,MATI,2023-07-04,Mutasi MATI untuk Gunawan Santoso,
mutasi-129,penduduk-623,PINDAH KELUAR,2024-03-11,Mutasi PINDAH KELUAR untuk Umi Wibowo,
mutasi-130,penduduk-624,PINDAH KELUAR,2023-10-13,Mutasi PINDAH KELUAR untuk Putri Saputra,
mutasi-131,penduduk-627,PINDAH KELUAR,2020-08-17,Mutasi PINDAH KELUAR untuk Nur Sari,
mutasi-132,penduduk-636,PINDAH KELUAR,2020-12-08,Mutasi PINDAH KELUAR untuk Hani Hidayati,
mutasi-133,penduduk-637,PINDAH MASUK,2023-02-26,Mutasi PINDAH MASUK untuk Nur Kurniawan,
mutasi-134,penduduk-639,PERUBAHAN STATUS,2023-05-21,Mutasi PERUBAHAN STATUS untuk Nur Purnomo,
mutasi-135,penduduk-642,LAHIR,2024-08-27,Mutasi LAHIR untuk Putri Wulandari,
mutasi-136,penduduk-643,MATI,2023-10-02,Mutasi MATI untuk Eko Wijaya,
mutasi-137,penduduk-648,MATI,2023-12-22,Mutasi MATI untuk Lukman Hidayat,
mutasi-138,penduduk-649,MATI,2021-01-15,Mutasi MATI untuk Rudi Sari,
mutasi-139,penduduk-651,PERUBAHAN STATUS,2024-11-08,Mutasi PERUBAHAN STATUS untuk Gunawan Saputra,
mutasi-140,penduduk-657,PINDAH KELUAR,2023-04-25,Mutasi PINDAH KELUAR untuk Sari Sari,
mutasi-141,penduduk-658,PINDAH KELUAR,2022-07-05,Mutasi PINDAH KELUAR untuk Fitri Wulandari,
mutasi-142,penduduk-659,PINDAH MASUK,2020-01-25,Mutasi PINDAH MASUK untuk Lukman Wibowo,
mutasi-143,penduduk-660,LAHIR,2024-02-19,Mutasi LAHIR untuk Gunawan Sari,
mutasi-144,penduduk-672,PERUBAHAN STATUS,2022-05-10,Mutasi PERUBAHAN STATUS untuk Nur Rahayu,
mutasi-145,penduduk-673,PERUBAHAN STATUS,2020-01-09,Mutasi PERUBAHAN STATUS untuk Siti Prasetyo,
mutasi-146,penduduk-680,PINDAH KELUAR,2022-05-12,Mutasi PINDAH KELUAR untuk Tono Wulandari,
mutasi-147,penduduk-688,PERUBAHAN STATUS,2024-12-07,Mutasi PERUBAHAN STATUS untuk Joko Setiawan,
mutasi-148,penduduk-691,LAHIR,2024-06-13,Mutasi LAHIR untuk Nur Sari,
mutasi-149,penduduk-693,PERUBAHAN STATUS,2024-04-16,Mutasi PERUBAHAN STATUS untuk Gunawan Sari,
mutasi-150,penduduk-695,PINDAH KELUAR,2023-07-28,Mutasi PINDAH KELUAR untuk Putri Wulandari,
mutasi-151,penduduk-721,LAHIR,2020-10-15,Mutasi LAHIR untuk Gunawan Lestari,
mutasi-152,penduduk-738,LAHIR,2023-10-25,Mutasi LAHIR untuk Ahmad Sari,
mutasi-153,penduduk-740,MATI,2024-05-01,Mutasi MATI untuk Siti Sari,
mutasi-154,penduduk-741,PINDAH KELUAR,2022-12-12,Mutasi PINDAH KELUAR untuk Rudi Saputra,
mutasi-155,penduduk-744,PINDAH MASUK,2022-11-07,Mutasi PINDAH MASUK untuk Tono Wulandari,
mutasi-156,penduduk-745,MATI,2022-05-03,Mutasi MATI untuk Hani Sari,
mutasi-157,penduduk-746,PERUBAHAN STATUS,2023-05-18,Mutasi PERUBAHAN STATUS untuk Fitri Sari,
mutasi-158,penduduk-753,PINDAH KELUAR,2023-05-26,Mutasi PINDAH KELUAR untuk Budi Purnomo,
mutasi-159,penduduk-755,PINDAH KELUAR,2021-11-11,Mutasi PINDAH KELUAR untuk Dewi Sari,
mutasi-160,penduduk-757,PINDAH MASUK,2024-10-26,Mutasi PINDAH MASUK untuk Joko Hidayat,
mutasi-161,penduduk-762,PINDAH MASUK,2022-03-09,Mutasi PINDAH MASUK untuk Fitri Wibowo,
mutasi-162,penduduk-763,MATI,2022-08-24,Mutasi MATI untuk Ahmad Wijaya,
mutasi-163,penduduk-765,PINDAH KELUAR,2023-08-19,Mutasi PINDAH KELUAR untuk Maya Sari,
mutasi-164,penduduk-771,PERUBAHAN STATUS,2024-03-09,Mutasi PERUBAHAN STATUS untuk Lukman Lestari,
mutasi-165,penduduk-773,LAHIR,2021-07-06,Mutasi LAHIR untuk Dewi Rahayu,
mutasi-166,penduduk-776,PINDAH MASUK,2021-08-24,Mutasi PINDAH MASUK untuk Siti Setiawan,
mutasi-167,penduduk-777,LAHIR,2020-01-04,Mutasi LAHIR untuk Sari Saputra,
mutasi-168,penduduk-781,LAHIR,2021-06-02,Mutasi LAHIR untuk Tono Sari,
mutasi-169,penduduk-787,PINDAH MASUK,2022-01-08,Mutasi PINDAH MASUK untuk Gunawan Hidayati,
mutasi-170,penduduk-791,LAHIR,2022-02-05,Mutasi LAHIR untuk Kartika Hidayat,
mutasi-171,penduduk-799,PINDAH KELUAR,2020-05-26,Mutasi PINDAH KELUAR untuk Fitri Hidayat,
mutasi-172,penduduk-801,LAHIR,2020-05-10,Mutasi LAHIR untuk Fitri Hidayati,
mutasi-173,penduduk-804,PINDAH KELUAR,2021-07-18,Mutasi PINDAH KELUAR untuk Eko Sari,
mutasi-174,penduduk-809,PERUBAHAN STATUS,2023-12-21,Mutasi PERUBAHAN STATUS untuk Joko Lestari,
mutasi-175,penduduk-810,PERUBAHAN STATUS,2023-10-29,Mutasi PERUBAHAN STATUS untuk Hani Sari,
mutasi-176,penduduk-812,PERUBAHAN STATUS,2021-06-25,Mutasi PERUBAHAN STATUS untuk Siti Wijaya,
mutasi-177,penduduk-815,LAHIR,2023-06-01,Mutasi LAHIR untuk Budi Indrawati,
mutasi-178,penduduk-823,LAHIR,2021-03-08,Mutasi LAHIR untuk Fitri Indrawati,
mutasi-179,penduduk-824,LAHIR,2021-03-12,Mutasi LAHIR untuk Gunawan Hidayati,
mutasi-180,penduduk-834,PERUBAHAN STATUS,2020-12-29,Mutasi PERUBAHAN STATUS untuk Gunawan Kurniawan,
mutasi-181,penduduk-835,PERUBAHAN STATUS,2022-07-13,Mutasi PERUBAHAN STATUS untuk Rudi Prasetyo,
mutasi-182,penduduk-846,PINDAH KELUAR,2020-08-11,Mutasi PINDAH KELUAR untuk Siti Sari,
mutasi-183,penduduk-848,LAHIR,2022-02-24,Mutasi LAHIR untuk Siti Purnomo,
mutasi-184,penduduk-852,PINDAH MASUK,2022-01-03,Mutasi PINDAH MASUK untuk Dewi Sari,
mutasi-185,penduduk-855,PERUBAHAN STATUS,2021-08-28,Mutasi PERUBAHAN STATUS untuk Kartika Hidayati,
mutasi-186,penduduk-857,LAHIR,2024-01-18,Mutasi LAHIR untuk Omar Indrawati,
mutasi-187,penduduk-864,PINDAH KELUAR,2022-10-14,Mutasi PINDAH KELUAR untuk Lukman Wijaya,
mutasi-188,penduduk-865,PINDAH MASUK,2020-09-10,Mutasi PINDAH MASUK untuk Dewi Santoso,
mutasi-189,penduduk-866,PINDAH KELUAR,2020-09-20,Mutasi PINDAH KELUAR untuk Kartika Santoso,
mutasi-190,penduduk-867,PINDAH KELUAR,2023-06-17,Mutasi PINDAH KELUAR untuk Indra Wulandari,
mutasi-191,penduduk-868,PINDAH MASUK,2024-02-25,Mutasi PINDAH MASUK untuk Maya Hidayat,
mutasi-192,penduduk-870,PERUBAHAN STATUS,2023-09-12,Mutasi PERUBAHAN STATUS untuk Lukman Hidayat,
mutasi-193,penduduk-874,LAHIR,2020-11-20,Mutasi LAHIR untuk Lukman Rahayu,
mutasi-194,penduduk-887,MATI,2022-12-23,Mutasi MATI untuk Maya Sari,
mutasi-195,penduduk-891,PINDAH KELUAR,2023-10-20,Mutasi PINDAH KELUAR untuk Joko Rahayu,
mutasi-196,penduduk-900,PINDAH MASUK,2023-12-10,Mutasi PINDAH MASUK untuk Putri Indrawati,
mutasi-197,penduduk-904,LAHIR,2020-02-20,Mutasi LAHIR untuk Fitri Rahayu,
mutasi-198,penduduk-913,PERUBAHAN STATUS,2020-06-18,Mutasi PERUBAHAN STATUS untuk Lukman Wibowo,
mutasi-199,penduduk-921,MATI,2021-05-03,Mutasi MATI untuk Joko Wijaya,
mutasi-200,penduduk-926,MATI,2021-01-27,Mutasi MATI untuk Fitri Rahayu,
mutasi-201,penduduk-932,PERUBAHAN STATUS,2024-09-19,Mutasi PERUBAHAN STATUS untuk Kartika Hidayati,
mutasi-202,penduduk-939,LAHIR,2023-09-15,Mutasi LAHIR untuk Joko Wijaya,
mutasi-203,penduduk-944,MATI,2021-06-11,Mutasi MATI untuk Sari Kurniawan,
mutasi-204,penduduk-947,LAHIR,2020-11-17,Mutasi LAHIR untuk Siti Prasetyo,
mutasi-205,penduduk-951,LAHIR,2024-09-27,Mutasi LAHIR untuk Putri Wibowo,
mutasi-206,penduduk-953,MATI,2020-02-08,Mutasi MATI untuk Fitri Santoso,
mutasi-207,penduduk-959,MATI,2024-08-11,Mutasi MATI untuk Putri Sari,
mutasi-208,penduduk-961,MATI,2021-12-06,Mutasi MATI untuk Joko Rahayu,
mutasi-209,penduduk-968,PERUBAHAN STATUS,2021-11-27,Mutasi PERUBAHAN STATUS untuk Kartika Kurniawan,
mutasi-210,penduduk-971,PINDAH MASUK,2023-09-13,Mutasi PINDAH MASUK untuk Hani Hidayati,
mutasi-211,penduduk-984,PINDAH MASUK,2021-08-30,Mutasi PINDAH MASUK untuk Nur Purnomo,
mutasi-212,penduduk-985,LAHIR,2020-08-29,Mutasi LAHIR untuk Maya Purnomo,
mutasi-213,penduduk-992,LAHIR,2021-07-20,Mutasi LAHIR untuk Tono Wibowo,
mutasi-214,penduduk-995,LAHIR,2022-08-07,Mutasi LAHIR untuk Tono Santoso,
mutasi-215,penduduk-1011,PINDAH KELUAR,2024-09-02,Mutasi PINDAH KELUAR untuk Umi Wibowo,
mutasi-216,penduduk-1013,MATI,2022-12-26,Mutasi MATI untuk Indra Sari,
mutasi-217,penduduk-1017,MATI,2024-05-13,Mutasi MATI untuk Indra Hidayat,
mutasi-218,penduduk-1020,LAHIR,2024-08-14,Mutasi LAHIR untuk Eko Wulandari,
