id,kk_id,nik,nama_lengkap,tempat_lahir,tgl_lahir,jenis_kelamin,gol_darah,agama,status_kawin,shdk,pendidikan,pekerjaan,nama_ayah,nama_ibu,status_dasar,catatan
penduduk-60,kk-12,32010122220060,Lukman Saputra,Bogor,2010-08-03,LAKI-LAKI,AB,BUDDHA,CERAI MATI,CUCU,TIDAK / BELUM SEKOLAH,Pelajar/Mahasiswa,Ayah Lukman,Ibu Lukman,PINDAH,
penduduk-61,kk-12,32010149200061,Nur Wibowo,Bogor,1951-03-14,LAKI-LAKI,AB,KONGHUCU,CERAI MATI,CUCU,SMA / SEDERAJAT,Pelajar/Mahasiswa,Ayah Nur,Ibu Nur,HIDUP,
penduduk-62,kk-12,32010113530062,Lukman Hidayati,Bogor,2002-07-27,LAKI-LAKI,O,HINDU,CERAI HIDUP,ANAK,SD / SEDERAJAT,Perawat,Ayah Lukman,Ibu Lukman,PINDAH,
penduduk-63,kk-12,32010137150063,Nur Wibowo,Bogor,2006-06-10,LAKI-LAKI,AB,KRISTEN,KAWIN,ANAK,D1 / D2 / D3,Guru,Ayah Nur,Ibu Nur,HIDUP,
penduduk-64,kk-12,32010158180064,Kartika Saputra,Bogor,2018-05-20,PEREMPUAN,AB,KRISTEN,CERAI MATI,MENANTU,SD / SEDERAJAT,Pelajar/Mahasiswa,Ayah Kartika,Ibu Kartika,MATI,
penduduk-65,kk-12,32010137420065,Eko Sari,Bogor,1954-06-09,LAKI-LAKI,A,BUDDHA,KAWIN,MENANTU,SD / SEDERAJAT,Guru,Ayah Eko,Ibu Eko,PINDAH,
penduduk-66,kk-13,32010154870066,Putri Sari,Bogor,1970-09-05,LAKI-LAKI,A,BUDDHA,KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,Pelajar/Mahasiswa,,,HIDUP,
penduduk-67,kk-13,32010173440067,Indra Prasetyo,Bogor,1998-04-16,PEREMPUAN,-,BUDDHA,CERAI MATI,FAMILI LAIN,SMP / SEDERAJAT,Tidak Bekerja,Ayah Indra,Ibu Indra,HIDUP,
penduduk-68,kk-13,32010155370068,Omar Rahayu,Bogor,2019-01-15,LAKI-LAKI,A,KATOLIK,KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,Guru,Ayah Omar,Ibu Omar,PINDAH,
penduduk-69,kk-13,32010121230069,Gunawan Lestari,Bogor,1957-10-02,PEREMPUAN,-,KRISTEN,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Wiraswasta,Ayah Gunawan,Ibu Gunawan,HIDUP,
penduduk-70,kk-13,32010110980070,Eko Wibowo,Bogor,2004-02-01,PEREMPUAN,-,ISLAM,CERAI MATI,MERTUA,SMA / SEDERAJAT,Guru,Ayah Eko,Ibu Eko,PINDAH,
penduduk-71,kk-13,32010174600071,Rudi Sari,Bogor,1987-11-24,LAKI-LAKI,O,KATOLIK,KAWIN,ANAK,S2,Tidak Bekerja,Ayah Rudi,Ibu Rudi,HIDUP,
penduduk-72,kk-14,32010147560072,Eko Setiawan,Bogor,1982-07-05,LAKI-LAKI,AB,KONGHUCU,KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,PNS,,,HIDUP,
penduduk-73,kk-14,32010111790073,Indra Purnomo,Bogor,2019-01-05,PEREMPUAN,O,KRISTEN,BELUM KAWIN,MENANTU,SMP / SEDERAJAT,Dokter,Ayah Indra,Ibu Indra,HIDUP,
penduduk-74,kk-14,32010193540074,Rudi Sari,Bogor,1982-03-10,PEREMPUAN,AB,ISLAM,CERAI HIDUP,MENANTU,S3,Tidak Bekerja,Ayah Rudi,Ibu Rudi,HIDUP,
penduduk-75,kk-14,32010169190075,Omar Sari,Bogor,1971-03-26,LAKI-LAKI,A,KATOLIK,BELUM KAWIN,ISTRI,BELUM TAMAT SD,Buruh,Ayah Omar,Ibu Omar,MATI,
penduduk-76,kk-14,32010169260076,Dewi Wijaya,Bogor,2007-05-04,LAKI-LAKI,-,KRISTEN,CERAI HIDUP,KEPALA KELUARGA,SD / SEDERAJAT,Perawat,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-77,kk-14,32010193270077,Nur Indrawati,Bogor,1959-12-05,PEREMPUAN,AB,ISLAM,CERAI HIDUP,KEPALA KELUARGA,S2,Tidak Bekerja,Ayah Nur,Ibu Nur,HIDUP,
penduduk-78,kk-15,32010154170078,Nur Wijaya,Bogor,1996-09-17,LAKI-LAKI,A,KATOLIK,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Dokter,,,HIDUP,
penduduk-79,kk-15,32010189340079,Indra Sari,Bogor,1971-03-24,LAKI-LAKI,-,HINDU,KAWIN,MERTUA,TIDAK / BELUM SEKOLAH,Tidak Bekerja,Ayah Indra,Ibu Indra,HIDUP,
penduduk-80,kk-15,32010184950080,Dewi Rahayu,Bogor,1973-04-15,LAKI-LAKI,A,KONGHUCU,CERAI MATI,KEPALA KELUARGA,D1 / D2 / D3,Perawat,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-81,kk-15,32010135640081,Indra Sari,Bogor,1948-08-18,LAKI-LAKI,AB,KATOLIK,CERAI HIDUP,MERTUA,BELUM TAMAT SD,Wiraswasta,Ayah Indra,Ibu Indra,PINDAH,
penduduk-82,kk-16,32010198710082,Indra Kurniawan,Bogor,1956-03-25,LAKI-LAKI,-,BUDDHA,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Petani,,,HIDUP,
penduduk-83,kk-16,32010137770083,Omar Wijaya,Bogor,1952-05-28,PEREMPUAN,O,ISLAM,BELUM KAWIN,MENANTU,SD / SEDERAJAT,Petani,Ayah Omar,Ibu Omar,MATI,
penduduk-84,kk-16,32010143380084,Kartika Sari,Bogor,1984-06-03,PEREMPUAN,A,KRISTEN,CERAI HIDUP,KEPALA KELUARGA,D1 / D2 / D3,Wiraswasta,Ayah Kartika,Ibu Kartika,HIDUP,
penduduk-85,kk-16,32010161240085,Budi Indrawati,Bogor,1988-05-12,LAKI-LAKI,-,KRISTEN,KAWIN,KEPALA KELUARGA,S3,Tidak Bekerja,Ayah Budi,Ibu Budi,HIDUP,
penduduk-86,kk-16,32010107880086,Umi Saputra,Bogor,1989-07-05,PEREMPUAN,O,KATOLIK,CERAI MATI,ISTRI,SMA / SEDERAJAT,Petani,Ayah Umi,Ibu Umi,HIDUP,
penduduk-87,kk-16,32010177590087,Omar Wulandari,Bogor,1981-03-17,LAKI-LAKI,O,HINDU,CERAI HIDUP,KEPALA KELUARGA,TIDAK / BELUM SEKOLAH,Tidak Bekerja,Ayah Omar,Ibu Omar,HIDUP,
penduduk-88,kk-16,32010171980088,Eko Sari,Bogor,1948-02-02,LAKI-LAKI,AB,KONGHUCU,CERAI HIDUP,ISTRI,SMP / SEDERAJAT,Petani,Ayah Eko,Ibu Eko,HIDUP,
penduduk-89,kk-17,32010142520089,Budi Wijaya,Bogor,1961-04-12,LAKI-LAKI,-,BUDDHA,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Pedagang,,,MATI,
penduduk-90,kk-17,32010118900090,Maya Purnomo,Bogor,2000-01-08,LAKI-LAKI,AB,ISLAM,CERAI MATI,MENANTU,SMP / SEDERAJAT,Dokter,Ayah Maya,Ibu Maya,HIDUP,
penduduk-91,kk-17,32010101470091,Tono Sari,Bogor,1953-11-06,LAKI-LAKI,-,KONGHUCU,KAWIN,ISTRI,SD / SEDERAJAT,Pelajar/Mahasiswa,Ayah Tono,Ibu Tono,HIDUP,
penduduk-92,kk-17,32010125380092,Rudi Prasetyo,Bogor,1955-09-12,LAKI-LAKI,AB,KONGHUCU,KAWIN,MENANTU,SD / SEDERAJAT,Karyawan Swasta,Ayah Rudi,Ibu Rudi,HIDUP,
penduduk-93,kk-17,32010136870093,Lukman Lestari,Bogor,2009-09-06,LAKI-LAKI,AB,ISLAM,CERAI HIDUP,MENANTU,TIDAK / BELUM SEKOLAH,Guru,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-94,kk-17,32010151560094,Eko Wulandari,Bogor,1983-04-01,LAKI-LAKI,AB,KONGHUCU,CERAI HIDUP,FAMILI LAIN,BELUM TAMAT SD,Pelajar/Mahasiswa,Ayah Eko,Ibu Eko,HIDUP,
penduduk-95,kk-18,32010143910095,Joko Setiawan,Bogor,1992-12-28,LAKI-LAKI,AB,KONGHUCU,KAWIN,KEPALA KELUARGA,SD / SEDERAJAT,Buruh,,,MATI,
penduduk-96,kk-18,32010134030096,Omar Sari,Bogor,1987-02-16,LAKI-LAKI,-,KONGHUCU,CERAI HIDUP,ORANG TUA,SMA / SEDERAJAT,PNS,Ayah Omar,Ibu Omar,HIDUP,
penduduk-97,kk-18,32010112310097,Omar Saputra,Bogor,2019-12-20,LAKI-LAKI,B,BUDDHA,CERAI HIDUP,MERTUA,SMP / SEDERAJAT,Dokter,Ayah Omar,Ibu Omar,HIDUP,
penduduk-98,kk-18,32010135280098,Dewi Setiawan,Bogor,2012-12-04,PEREMPUAN,-,HINDU,BELUM KAWIN,FAMILI LAIN,S2,Wiraswasta,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-99,kk-18,32010139910099,Siti Setiawan,Bogor,2015-07-28,PEREMPUAN,B,ISLAM,CERAI HIDUP,MENANTU,D1 / D2 / D3,Guru,Ayah Siti,Ibu Siti,PINDAH,
penduduk-100,kk-18,32010142800100,Indra Sari,Bogor,2011-03-24,LAKI-LAKI,-,HINDU,BELUM KAWIN,MENANTU,D4 / S1,PNS,Ayah Indra,Ibu Indra,HIDUP,
penduduk-101,kk-18,32010130570101,Indra Prasetyo,Bogor,2022-08-22,PEREMPUAN,A,KONGHUCU,CERAI MATI,CUCU,TIDAK / BELUM SEKOLAH,Dokter,Ayah Indra,Ibu Indra,HIDUP,
penduduk-102,kk-19,32010154180102,Maya Lestari,Bogor,1963-07-22,LAKI-LAKI,A,KATOLIK,KAWIN,KEPALA KELUARGA,S2,Karyawan Swasta,,,PINDAH,
penduduk-103,kk-19,32010189200103,Hani Prasetyo,Bogor,2010-07-04,LAKI-LAKI,AB,HINDU,CERAI HIDUP,FAMILI LAIN,S3,Tidak Bekerja,Ayah Hani,Ibu Hani,HIDUP,
penduduk-104,kk-19,32010145570104,Nur Sari,Bogor,2008-06-04,PEREMPUAN,A,KONGHUCU,KAWIN,MENANTU,SMP / SEDERAJAT,Buruh,Ayah Nur,Ibu Nur,HIDUP,
penduduk-105,kk-19,32010112840105,Budi Santoso,Bogor,2023-07-10,PEREMPUAN,AB,KONGHUCU,BELUM KAWIN,MENANTU,S2,Wiraswasta,Ayah Budi,Ibu Budi,HIDUP,
penduduk-106,kk-19,32010140140106,Rudi Santoso,Bogor,1966-03-24,LAKI-LAKI,AB,KRISTEN,CERAI HIDUP,ORANG TUA,BELUM TAMAT SD,Buruh,Ayah Rudi,Ibu Rudi,MATI,
penduduk-107,kk-19,32010186710107,Tono Rahayu,Bogor,1950-11-09,LAKI-LAKI,O,KONGHUCU,KAWIN,CUCU,D1 / D2 / D3,Tidak Bekerja,Ayah Tono,Ibu Tono,PINDAH,
penduduk-108,kk-20,32010127770108,Tono Rahayu,Bogor,2010-05-15,LAKI-LAKI,AB,ISLAM,KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Perawat,,,HIDUP,
penduduk-109,kk-20,32010180860109,Lukman Sari,Bogor,1967-06-12,LAKI-LAKI,AB,ISLAM,CERAI HIDUP,KEPALA KELUARGA,S2,Tidak Bekerja,Ayah Lukman,Ibu Lukman,PINDAH,
penduduk-110,kk-20,32010121830110,Fitri Kurniawan,Bogor,1997-12-11,PEREMPUAN,B,HINDU,BELUM KAWIN,MENANTU,S3,PNS,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-111,kk-20,32010100670111,Sari Prasetyo,Bogor,1977-01-27,LAKI-LAKI,B,HINDU,BELUM KAWIN,MENANTU,SMP / SEDERAJAT,Tidak Bekerja,Ayah Sari,Ibu Sari,HIDUP,
penduduk-112,kk-20,32010107250112,Joko Wijaya,Bogor,1982-07-12,LAKI-LAKI,A,ISLAM,BELUM KAWIN,SUAMI,BELUM TAMAT SD,Buruh,Ayah Joko,Ibu Joko,HIDUP,
penduduk-113,kk-20,32010174470113,Siti Hidayati,Bogor,2017-01-03,LAKI-LAKI,O,HINDU,BELUM KAWIN,ORANG TUA,D1 / D2 / D3,PNS,Ayah Siti,Ibu Siti,MATI,
penduduk-114,kk-20,32010149690114,Tono Santoso,Bogor,1998-04-23,LAKI-LAKI,O,KONGHUCU,KAWIN,MERTUA,D4 / S1,Guru,Ayah Tono,Ibu Tono,HIDUP,
penduduk-115,kk-21,32010131410115,Rudi Hidayat,Bogor,1990-10-04,LAKI-LAKI,A,KRISTEN,KAWIN,KEPALA KELUARGA,S3,Wiraswasta,,,HIDUP,
penduduk-116,kk-21,32010171810116,Joko Purnomo,Bogor,2022-01-18,PEREMPUAN,AB,BUDDHA,KAWIN,ANAK,SMA / SEDERAJAT,Petani,Ayah Joko,Ibu Joko,HIDUP,
penduduk-117,kk-21,32010193880117,Budi Hidayat,Bogor,1990-10-12,LAKI-LAKI,A,KRISTEN,CERAI MATI,SUAMI,S2,Pedagang,Ayah Budi,Ibu Budi,HIDUP,
penduduk-118,kk-21,32010183860118,Ahmad Sari,Bogor,1962-09-15,LAKI-LAKI,-,BUDDHA,CERAI MATI,MENANTU,S3,Buruh,Ayah Ahmad,Ibu Ahmad,PINDAH,
penduduk-119,kk-21,32010160700119,Tono Prasetyo,Bogor,1982-07-20,PEREMPUAN,B,KATOLIK,KAWIN,CUCU,D4 / S1,Pedagang,Ayah Tono,Ibu Tono,PINDAH,
penduduk-120,kk-21,32010156280120,Fitri Purnomo,Bogor,1982-08-20,LAKI-LAKI,AB,KONGHUCU,CERAI MATI,KEPALA KELUARGA,SMP / SEDERAJAT,Perawat,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-121,kk-21,32010134680121,Gunawan Wibowo,Bogor,1980-09-06,LAKI-LAKI,A,KATOLIK,CERAI HIDUP,KEPALA KELUARGA,D4 / S1,Buruh,Ayah Gunawan,Ibu Gunawan,PINDAH,
penduduk-122,kk-22,32010171370122,Maya Wijaya,Bogor,1960-08-28,LAKI-LAKI,O,KONGHUCU,KAWIN,KEPALA KELUARGA,D4 / S1,Karyawan Swasta,,,HIDUP,
penduduk-123,kk-22,32010155150123,Sari Sari,Bogor,2008-01-12,LAKI-LAKI,B,KRISTEN,KAWIN,MENANTU,BELUM TAMAT SD,Pedagang,Ayah Sari,Ibu Sari,HIDUP,
